haul_id,species,length_mm,number,year,day,month,lat,lon,temp_obs,period,yday,X,Y,life_stage,temp,chl,depth
1993_02_08_1,Anguilla anguilla,71,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,larvae,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Aphia minuta,39,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,mixed,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Aphia minuta,39,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,mixed,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Clupea harengus,33,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,larvae,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Clupea harengus,34,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,larvae,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Clupea harengus,35,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,larvae,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Clupea harengus,37,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,larvae,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Crystallogobius linearis,15,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,mixed,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Crystallogobius linearis,17,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,mixed,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Crystallogobius linearis,19,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,mixed,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Pholis gunnellus,17,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,larvae,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Pomatoschistus sp,44,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,mixed,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_08_1,Pomatoschistus sp,51,NA,1993,8,2,57.193333333333335,11.653333333333334,3.76,old,39,660.3239518119443,6342.028268658215,mixed,3.7928346792389425,1.2785865188287069,48.363121032714844
1993_02_09_2,Aphia minuta,21,NA,1993,9,2,56.31333333333333,12.378333333333334,3.5,old,40,708.9448243218138,6246.081677333326,mixed,3.2750716893245517,1.2976267164164628,26.981956481933594
1993_02_09_2,Clupea harengus,35,NA,1993,9,2,56.31333333333333,12.378333333333334,3.5,old,40,708.9448243218138,6246.081677333326,larvae,3.2750716893245517,1.2976267164164628,26.981956481933594
1993_02_09_2,Clupea harengus,36,NA,1993,9,2,56.31333333333333,12.378333333333334,3.5,old,40,708.9448243218138,6246.081677333326,larvae,3.2750716893245517,1.2976267164164628,26.981956481933594
1993_02_09_2,Clupea harengus,38,NA,1993,9,2,56.31333333333333,12.378333333333334,3.5,old,40,708.9448243218138,6246.081677333326,larvae,3.2750716893245517,1.2976267164164628,26.981956481933594
1993_02_09_2,Pholis gunnellus,14,NA,1993,9,2,56.31333333333333,12.378333333333334,3.5,old,40,708.9448243218138,6246.081677333326,larvae,3.2750716893245517,1.2976267164164628,26.981956481933594
1993_02_09_2,Pholis gunnellus,15,NA,1993,9,2,56.31333333333333,12.378333333333334,3.5,old,40,708.9448243218138,6246.081677333326,larvae,3.2750716893245517,1.2976267164164628,26.981956481933594
1993_02_09_2,Pholis gunnellus,15,NA,1993,9,2,56.31333333333333,12.378333333333334,3.5,old,40,708.9448243218138,6246.081677333326,larvae,3.2750716893245517,1.2976267164164628,26.981956481933594
1993_02_09_2,Pholis gunnellus,16,NA,1993,9,2,56.31333333333333,12.378333333333334,3.5,old,40,708.9448243218138,6246.081677333326,larvae,3.2750716893245517,1.2976267164164628,26.981956481933594
1993_02_09_2,Pholis gunnellus,18,NA,1993,9,2,56.31333333333333,12.378333333333334,3.5,old,40,708.9448243218138,6246.081677333326,larvae,3.2750716893245517,1.2976267164164628,26.981956481933594
1993_02_09_3,Ammodytidae,33,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,mixed,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Aphia minuta,37,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,mixed,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Aphia minuta,38,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,mixed,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Aphia minuta,38,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,mixed,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Aphia minuta,38,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,mixed,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Aphia minuta,39,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,mixed,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Aphia minuta,41,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,mixed,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Aphia minuta,43,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,mixed,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Aphia minuta,44,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,mixed,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Chirolophis ascanii,13,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Chirolophis ascanii,16,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Chirolophis ascanii,24,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Chirolophis ascanii,25,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Chirolophis ascanii,28,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Clupea harengus,27,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Clupea harengus,28,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Clupea harengus,28,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Clupea harengus,28,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Clupea harengus,29,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Clupea harengus,29,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Clupea harengus,29,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
1993_02_09_3,Clupea harengus,29,NA,1993,9,2,56.21,12.076666666666666,3.04,old,40,690.808229791487,6233.711716181374,larvae,3.467352728817358,1.3546727721501253,26.81195640563965
