date,fraction year,station,Sum of Abif_biomass,Sum of Acla_biomass,Sum of Cfin_biomass,Sum of Centro_biomass,Sum of Para_biomass,Sum of Pseudo_biomass,Sum of Temora_biomass
2007-06-11,2007.44,Å17,0,453,0,70,542,956,306
2007-08-06,2007.60,Å17,0,3 823,0,0,110 901,401,2 450
2007-08-27,2007.65,Å17,0,90,0,0,2 399,37,0
2007-09-09,2007.69,Å17,0,2 347,0,76,3 310,488,2 130
2007-09-24,2007.73,Å17,0,492,0,0,678,0,0
2007-11-12,2007.87,Å17,0,5,554,0,37,0,2
2007-12-13,2007.95,SLÄGGÖ,0,0,0,0,559,25,419
2007-12-13,2007.95,Å17,0,61,0,0,169,0,0
2008-01-14,2008.04,SLÄGGÖ,0,0,0,0,1 230,8,492
2008-01-14,2008.04,Å17,0,393,2 872,0,1 961,64,20
2008-02-18,2008.13,SLÄGGÖ,0,488,0,70,950,64,332
2008-02-18,2008.13,Å17,0,123,11 329,0,577,35,133
2008-03-20,2008.22,SLÄGGÖ,0,92,808,0,577,160,351
2008-03-20,2008.22,Å17,0,0,15 550,0,638,27,0
2008-04-14,2008.29,SLÄGGÖ,0,682,11 612,398,1 115,1 236,2 729
2008-04-14,2008.29,Å17,201,0,503 010,0,5 731,2 223,533
2008-05-12,2008.36,SLÄGGÖ,0,1 081,1 114,0,860,596,3 973
2008-05-12,2008.36,Å17,0,0,19 881,0,1 006,50,0
2008-06-09,2008.44,SLÄGGÖ,720,1 284,0,198,128,330,264
2008-06-09,2008.44,Å17,2 112,2 711,5 670,355,0,195,1 065
2008-07-07,2008.52,SLÄGGÖ,0,22 698,28 141,305,28 930,188,0
2008-07-07,2008.52,Å17,0,0,6 379,0,18 951,220,0
2008-07-28,2008.58,SLÄGGÖ,0,5 294,0,0,9 487,53,25
2008-07-28,2008.58,Å17,0,17 088,28 663,0,16 193,2 384,11 915
2008-08-18,2008.63,SLÄGGÖ,0,1 144,0,0,3 715,0,306
2008-08-18,2008.63,Å17,0,1 856,22 973,0,11 261,100,0
2008-09-15,2008.71,SLÄGGÖ,23,267,42,0,1 059,0,0
2008-09-15,2008.71,Å17,0,2 874,4 433,0,3 531,54,0
2008-10-09,2008.78,SLÄGGÖ,0,555,396,0,11 375,16,0
2008-10-09,2008.78,Å17,0,0,5 374,0,784,85,0
2008-12-11,2008.95,Å17,0,0,224,0,613,0,0
2008-12-12,2008.95,SLÄGGÖ,0,0,0,0,3 650,0,797
2009-01-18,2009.05,SLÄGGÖ,0,96,0,12,449,3,206
2009-02-16,2009.13,SLÄGGÖ,37,8,0,2,266,3,164
2009-02-16,2009.13,Å17,50,0,6 383,38,271,8,20
2009-03-19,2009.21,SLÄGGÖ,101,668,4 749,0,1 964,254,10 124
2009-03-20,2009.22,Å17,0,181,10 457,0,1 185,124,0
2009-04-14,2009.28,SLÄGGÖ,101,738,55 013,103,954,287,3 533
2009-04-14,2009.28,Å17,0,10,9 186,0,8,2,0
2009-05-11,2009.36,SLÄGGÖ,0,784,1 477,0,67,17,329
2009-05-11,2009.36,Å17,0,54,37 395,0,305,83,359
