df,AIC,species
36,43162.16322552705,Aphia minuta
37,43159.20106909282,Aphia minuta
35,61333.61909650846,Clupea harengus
36,61304.37728441145,Clupea harengus
36,84907.59496554155,Crystallogobius linearis
37,84884.65149776063,Crystallogobius linearis
35,24731.443423258697,Pholis gunnellus
36,24701.666658712264,Pholis gunnellus
33,12692.348504403662,Pomatoschistus sp
34,12694.178082326935,Pomatoschistus sp
35,8510.477790973751,Ammodytidae
36,8507.744145352297,Ammodytidae
35,6010.742489458267,Chirolophis ascanii
36,6008.502096036742,Chirolophis ascanii
21,1189.7270204628464,Agonus cataphractus
22,1191.0943992947448,Agonus cataphractus
29,3819.7158406155286,Microstomus kitt
30,3819.9260674555353,Microstomus kitt
29,8552.70807074274,Syngnathus rostellatus
30,8548.71020228915,Syngnathus rostellatus
24,1766.2042046603844,Myoxocephalus scorpius
25,1767.6162521189933,Myoxocephalus scorpius
13,6134.8497588584605,Sardina pilchardus
14,6135.977775596048,Sardina pilchardus
