year,est_x,lwr_x,upr_x,se_x,est_y,lwr_y,upr_y,se_y,type,species
1993,649.2306318356297,634.6533468210181,663.8079168502412,7.437526979880914,6353.239773972886,6339.431538784337,6367.0480091614345,7.045147409578202,cog,Aphia minuta
1994,618.0993899956832,596.9662220912928,639.2325579000735,10.782426652268166,6378.551258618498,6354.510180533252,6402.592336703743,12.266081558068613,cog,Aphia minuta
1995,642.4397850960579,630.3851040074858,654.49446618463,6.150460510324625,6333.15448605678,6318.069183147224,6348.239788966336,7.696724546240241,cog,Aphia minuta
1996,622.2940881600878,602.7173741112138,641.8708022089618,9.988302950101447,6372.408986907298,6344.625755813725,6400.1922180008705,14.175378380788414,cog,Aphia minuta
1997,627.2759582624906,607.9560170351352,646.5958994898459,9.857294001190093,6358.9048655132165,6336.53049281793,6381.279238208503,11.415706039382597,cog,Aphia minuta
1998,634.3167347451109,621.0930349600908,647.540434530131,6.746909580648933,6378.969064616849,6362.779391178834,6395.158738054864,8.26018925129096,cog,Aphia minuta
1999,624.1150953175928,611.1432210660304,637.0869695691553,6.618424804681595,6373.612437663508,6357.3046585800075,6389.9202167470085,8.320448340956238,cog,Aphia minuta
2000,621.5405100900244,607.2549988742123,635.8260213058365,7.288660061355443,6387.263530239216,6372.639217314119,6401.887843164313,7.461521252661864,cog,Aphia minuta
2001,606.7209053903783,594.748595657202,618.6932151235546,6.108433536336577,6396.027701436853,6380.9700347053795,6411.085368168327,7.6826241962845945,cog,Aphia minuta
2002,645.730758921148,628.2903119155136,663.1712059267824,8.898350757055942,6343.561558613563,6322.352040550953,6364.771076676173,10.82138153043003,cog,Aphia minuta
2003,610.204763964573,594.7395895783645,625.6699383507814,7.8905400855300005,6408.2267282462035,6388.1655915230895,6428.2878649693175,10.235461917338014,cog,Aphia minuta
2004,633.398092569621,615.5984812005734,651.1977039386686,9.081601248517174,6340.044807707176,6317.9005665152345,6362.189048899118,11.298289849513868,cog,Aphia minuta
2005,601.2750182554248,585.9595726141046,616.5904638967451,7.814146464999641,6408.0795336721385,6386.953017990359,6429.206049353918,10.779032598773897,cog,Aphia minuta
2006,636.6788088446673,620.0363584829245,653.3212592064101,8.491202130761733,6368.951081301046,6345.477234390908,6392.424928211183,11.976672579341365,cog,Aphia minuta
2007,655.6096918769148,641.8127318926025,669.406651861227,7.039394648647061,6347.536542926423,6328.196206274264,6366.876879578582,9.867700021384602,cog,Aphia minuta
2008,611.6597085221833,597.8130430716104,625.5063739727563,7.064755046415955,6395.272024672587,6380.538135666599,6410.005913678574,7.5174284436887415,cog,Aphia minuta
2009,601.4679389754707,586.2345550578865,616.7013228930549,7.772277469251083,6403.026208322619,6386.384109329331,6419.6683073159065,8.491022857847364,cog,Aphia minuta
2010,608.7108776807208,590.2872544797928,627.1345008816489,9.399980482422798,6384.094828462078,6366.629610108072,6401.560046816085,8.910989432341761,cog,Aphia minuta
2012,622.8268150065261,609.3372268705763,636.3164031424759,6.88256939533276,6385.647330999976,6369.5221498103965,6401.772512189555,8.227284438271484,cog,Aphia minuta
2013,599.5046833995234,586.2080184018362,612.8013483972106,6.784137414039033,6410.698243956175,6397.278013272243,6424.118474640108,6.84718228997568,cog,Aphia minuta
2014,600.3120756066355,586.8708564129876,613.7532948002835,6.857890910073147,6394.938340733033,6380.543374862743,6409.333306603324,7.344505298993425,cog,Aphia minuta
2015,622.6032494446172,607.474984321897,637.7315145673374,7.71864444553575,6368.239987237799,6350.494583608369,6385.985390867229,9.053943730294733,cog,Aphia minuta
2016,601.5153082555017,585.5012168597068,617.5293996512967,8.17060493055589,6395.161174711642,6378.0588087031165,6412.263540720168,8.72585728280068,cog,Aphia minuta
2017,611.6461813459957,590.4950709238548,632.7972917681367,10.791581166275614,6377.283815689874,6353.062011128325,6401.505620251423,12.35829063830154,cog,Aphia minuta
2018,604.4162406957524,591.0929935666913,617.7394878248135,6.797699975179702,6403.927165188998,6386.872022527086,6420.982307850909,8.701763295877141,cog,Aphia minuta
2019,632.9202716842802,611.6049440338032,654.2355993347572,10.875367006031508,6365.150722320579,6338.755148060925,6391.546296580233,13.467377190529348,cog,Aphia minuta
2020,591.4864061136508,567.4539047123942,615.5189075149074,12.261705618481734,6386.279382504797,6367.302592349885,6405.256172659708,9.682213706270844,cog,Aphia minuta
2021,609.563479709478,592.6037975432312,626.5231618757248,8.653058066384196,6393.007862510755,6373.648444766843,6412.367280254668,9.877435451170346,cog,Aphia minuta
2022,639.0615287879384,620.587203808612,657.5358537672648,9.425849212051627,6364.454511570716,6345.962691903784,6382.946331237648,9.434775237092808,cog,Aphia minuta
2023,621.204996540068,604.8006392195392,637.6093538605968,8.369723857134264,6384.923229809577,6366.416531170514,6403.42992844864,9.442366688899213,cog,Aphia minuta
2024,611.2946922210308,594.8991508234097,627.6902336186519,8.365225854631529,6397.158762829198,6376.561677716531,6417.755847941865,10.50890999790489,cog,Aphia minuta
1993,588.1320109680523,571.9416089345102,604.3224130015944,8.260560990533447,6414.7251719173155,6401.958958713631,6427.491385121,6.5134937704890525,cog,Clupea harengus
1994,568.0931311570845,552.6915736083315,583.4946887058375,7.858081918973243,6406.920993766253,6392.057478507936,6421.784509024569,7.5835655019980335,cog,Clupea harengus
1995,583.6566547994089,569.7486765419252,597.5646330568926,7.0960376655836646,6412.356221485633,6403.0748733740065,6421.637569597259,4.735468704954088,cog,Clupea harengus
1996,571.7933474477504,544.4002523620701,599.1864425334307,13.976325739530708,6384.8380854606885,6361.454453722588,6408.221717198789,11.930643584549287,cog,Clupea harengus
1997,572.8948012528051,551.734184775404,594.0554177302063,10.796431283591629,6408.369681325937,6393.727178857664,6423.01218379421,7.4708018023653615,cog,Clupea harengus
1998,559.7502381581376,539.2100678899673,580.2904084263079,10.47987127834418,6384.628681995692,6373.390723583937,6395.866640407447,5.7337576100369905,cog,Clupea harengus
1999,588.7691353728005,577.7787045935496,599.7595661520514,5.607465680972747,6407.307770827067,6395.812890750837,6418.802650903296,5.864842500627543,cog,Clupea harengus
2000,593.0882567860511,578.8752442670358,607.3012693050665,7.25167025064022,6404.906657395045,6392.130016085202,6417.683298704887,6.518814330581208,cog,Clupea harengus
2001,569.340502017744,556.9992678260737,581.6817362094143,6.296663759648874,6411.61270545225,6401.415430700136,6421.809980204364,5.202786802486562,cog,Clupea harengus
2002,601.7768487794307,590.5228851180489,613.0308124408125,5.74192370377804,6396.454345426797,6385.206739934545,6407.701950919049,5.738679680326652,cog,Clupea harengus
