year,year_f,yday_ct,temp_sc,est,est_se,species
1993,1993,0,0,67.96188642461028,4.644924662469873,Ammodytidae
1994,1994,0,0,38.46092795602793,3.4694130977100217,Ammodytidae
1995,1995,0,0,49.88267212706733,4.634423821966603,Ammodytidae
1996,1996,0,0,15.787712092510898,6.408546289097535,Ammodytidae
1997,1997,0,0,52.80858766007059,5.7128144555038105,Ammodytidae
1998,1998,0,0,36.83405168558435,3.4501554161483483,Ammodytidae
1999,1999,0,0,36.872871261463956,3.794158594870233,Ammodytidae
2000,2000,0,0,20.33023674005347,2.9518644484349514,Ammodytidae
2001,2001,0,0,43.55018821897111,4.759658011259418,Ammodytidae
2002,2002,0,0,56.00749434263798,3.6511610504109155,Ammodytidae
2003,2003,0,0,27.628304134398864,3.824360219599657,Ammodytidae
2004,2004,0,0,36.63916336696729,2.736276136650774,Ammodytidae
2005,2005,0,0,31.448433954741255,4.15317675904641,Ammodytidae
2006,2006,0,0,31.35358872725039,4.324796151545113,Ammodytidae
2007,2007,0,0,50.49367802941628,5.0468786555247505,Ammodytidae
2008,2008,0,0,41.41395193007607,2.00156818927762,Ammodytidae
2009,2009,0,0,48.537346774120344,3.251587613992984,Ammodytidae
2010,2010,0,0,20.26348051552752,5.475557101595142,Ammodytidae
2012,2012,0,0,35.608371404021135,3.328701010326051,Ammodytidae
2013,2013,0,0,34.473462420954654,2.709791907132212,Ammodytidae
2014,2014,0,0,36.933116476633444,2.8782477043965793,Ammodytidae
2015,2015,0,0,48.73103204044754,3.2829499989866755,Ammodytidae
2016,2016,0,0,36.305604570188976,3.195671461563024,Ammodytidae
2017,2017,0,0,28.670221070919503,1.7714826162782198,Ammodytidae
2018,2018,0,0,38.738921565535804,2.494494419812668,Ammodytidae
2019,2019,0,0,33.65663692167107,2.642847184731536,Ammodytidae
2020,2020,0,0,35.95689902624601,2.7837546268177666,Ammodytidae
2021,2021,0,0,28.54763433138249,2.646319382688542,Ammodytidae
1993,1993,0,0,28.750642852474723,0.35750503644290116,Clupea harengus
1994,1994,0,0,27.133531630801045,0.3094666435984939,Clupea harengus
1995,1995,0,0,26.76321599717083,0.29906177028357167,Clupea harengus
