year,est,lwr,upr,log_est,se,se_natural,type,species
1993,788353262.0833716,567248429.0446849,1095641405.0968373,20.48545684950103,0.16793621714487328,668538363.0928986,index,Aphia minuta
1994,327794400.8696101,199525699.64165127,538522954.3584894,19.607897143193437,0.25329217314850794,261198997.487834,index,Aphia minuta
1995,2671600682.737155,1991734897.2596543,3583534243.348217,21.70594363636938,0.1498352700041535,2223434035.9678555,index,Aphia minuta
1996,106494702.34313117,52400714.314188235,216430668.46669537,18.483605798619532,0.3618306372284898,82710123.05310537,index,Aphia minuta
1997,276176251.5443632,168316415.35307202,453154386.3805505,19.436549812420004,0.2526544496012644,222727015.3650991,index,Aphia minuta
1998,1375851333.3058174,1030538930.4169719,1836870821.166819,21.04233852796488,0.14744699110839937,1152103498.6191225,index,Aphia minuta
1999,2316541400.5133495,1809719139.5587575,2965302152.6869454,21.563341134672218,0.12597355765231397,1951084832.9166882,index,Aphia minuta
2000,1385892163.9362483,1051851446.2834888,1826015543.2084098,21.04960993088945,0.14071289193640948,1167563185.579361,index,Aphia minuta
2001,1664624717.6571698,1314554361.9309707,2107920015.2399027,21.232865540173094,0.12046240908523075,1411678156.02364,index,Aphia minuta
2002,804683986.2883253,575966443.8900449,1124225768.1117377,20.505960194692584,0.17061549982677102,671728062.7151315,index,Aphia minuta
2003,513979640.59137344,367152816.03339475,719523477.435098,20.057694212890542,0.1716386136331793,430263524.79374176,index,Aphia minuta
2004,828743811.1767818,612257577.49969,1121776732.218829,20.535421631776472,0.15447120659610913,700738338.7111368,index,Aphia minuta
2005,2938048004.6430774,2066338854.085542,4177497829.322527,21.80101125378962,0.17957832276956806,2339562566.290042,index,Aphia minuta
2006,1279751659.7203763,959889187.328979,1706201436.7662113,20.96993188021097,0.14673916285277852,1079767438.6836333,index,Aphia minuta
2007,6026550584.541584,4655529537.91899,7801327787.144324,22.51944064164227,0.13169586057163918,5179812411.194268,index,Aphia minuta
2008,832442958.4174697,599384524.9014345,1156121404.9241312,20.539875259053925,0.1675854080890372,688665117.1023049,index,Aphia minuta
2009,714388297.3820039,525105953.11761665,971900311.558735,20.386937206348165,0.15705726897036743,600400327.5198458,index,Aphia minuta
2010,521054387.4465542,352304696.0627374,770633141.4581977,20.071364984761757,0.19967612410194951,423858600.4450512,index,Aphia minuta
2012,1192100575.63705,922144717.8843025,1541085422.7898774,20.89898277756459,0.13100753358591855,1008854620.823387,index,Aphia minuta
2013,2431443849.1005983,1895056802.9546223,3119652762.9735155,21.611751094430463,0.12716378779962778,2020775014.5135505,index,Aphia minuta
2014,2008279231.165471,1548704467.454824,2604231830.595029,21.420544088453394,0.13258381254583618,1661389894.7980056,index,Aphia minuta
2015,590570193.6530459,433288230.48130184,804944905.2515807,20.19659905809172,0.15800562495558043,495550262.53020036,index,Aphia minuta
2016,805632390.5317943,590414715.0507492,1099301105.017657,20.507138105278077,0.15857554165446805,668906779.8997796,index,Aphia minuta
2017,186935935.93616027,116783639.61940706,299228935.3047456,19.046276527545306,0.24002633949415228,151011271.4386385,index,Aphia minuta
2018,1277296533.376336,941401541.3585228,1733039901.1465695,20.968011597984688,0.15568208199588324,1047151527.872933,index,Aphia minuta
