term,estimate,std.error,conf.low,conf.high,species
gengamma_Q,1.2445834758825198,NA,NA,NA,Aphia minuta
phi,0.15216488648656382,0.0026464709132052074,0.14706530964214518,0.15744129418290403,Aphia minuta
gengamma_Q,0.6167136244991704,NA,NA,NA,Clupea harengus
phi,0.11226993966803944,8.609522912362084e-4,0.11059512210435453,0.11397012013940286,Clupea harengus
gengamma_Q,0.01115890084345659,NA,NA,NA,Crystallogobius linearis
phi,0.2234961592461701,0.0013303776402817991,0.22090381859214792,0.22611892142078585,Crystallogobius linearis
gengamma_Q,0.08942354971612292,NA,NA,NA,Pholis gunnellus
phi,0.17459060948040528,0.0018083575636379243,0.17108202765472147,0.178171145950281,Pholis gunnellus
gengamma_Q,0.3908702519939693,NA,NA,NA,Pomatoschistus sp
phi,0.1456011490106676,0.002976697349755187,0.13988227191546285,0.1515538338270525,Pomatoschistus sp
gengamma_Q,2.559814892662897,NA,NA,NA,Ammodytidae
phi,0.15184194342436555,0.011187470451229262,0.1314245780758047,0.1754312330345828,Ammodytidae
gengamma_Q,0.6499901709584343,NA,NA,NA,Chirolophis ascanii
phi,0.20787451429115955,0.007530914297398207,0.19362604245223983,0.22317149668771546,Chirolophis ascanii
gengamma_Q,0.1961282160575793,NA,NA,NA,Microstomus kitt
phi,0.2410572812021265,0.008256637436902027,0.22540580602810015,0.2577955459289145,Microstomus kitt
gengamma_Q,-0.14631200210402456,NA,NA,NA,Syngnathus rostellatus
phi,0.19954091415373465,0.006204521605495472,0.1877434144382714,0.2120797501230036,Syngnathus rostellatus
gengamma_Q,-0.053678331327957386,NA,NA,NA,Myoxocephalus scorpius
phi,0.13833188306828473,0.004852934005763685,0.12913994315492386,0.14817808809363708,Myoxocephalus scorpius
