year,est,lwr,upr,log_est,se,se_natural,type,pred_dens_sum,species
1993,34.21357757456676,31.803350436344907,36.806464551394264,3.532622570387176,0.03727156575003943,33.98901431203578,unweighted,NA,Aphia minuta
1994,31.183902328017236,28.849219072085436,33.70752469845014,3.439902010641817,0.039704345195350314,30.973051800156234,unweighted,NA,Aphia minuta
1995,37.251773429214,33.86154100762163,40.98143741624601,3.6176995525302633,0.0486843974996953,37.02528106703965,unweighted,NA,Aphia minuta
1996,33.2777224581156,29.4433218158981,37.6114766847204,3.5048881778574366,0.0624608706625034,33.09167870242206,unweighted,NA,Aphia minuta
1997,31.954758560924713,29.148067807712167,35.03170781072565,3.4643211074775415,0.04690518911197864,31.765396711448275,unweighted,NA,Aphia minuta
1998,36.74373390446454,34.916330835618595,38.66677709058825,3.60396770512008,0.02602754617307089,36.490398690704495,unweighted,NA,Aphia minuta
1999,31.95314617556233,30.634116426915934,33.328970102750304,3.4642706478240957,0.021508734008976682,31.705805082273915,unweighted,NA,Aphia minuta
2000,36.12716624601953,34.5040881339323,37.826594225627105,3.587045109922488,0.023453133135206066,35.84697799928306,unweighted,NA,Aphia minuta
2001,35.488787336524,34.238085695027486,36.785176538066224,3.5692167969149753,0.018305517819199355,35.15932751149773,unweighted,NA,Aphia minuta
2002,36.91536004738833,34.899807051365826,39.04731637692487,3.6086277258805586,0.028646661747101225,36.673064780641646,unweighted,NA,Aphia minuta
2003,31.516868739707437,29.618354813980833,33.537075958286245,3.450522918040576,0.03169887524118181,31.29577188805492,unweighted,NA,Aphia minuta
2004,37.46274630115929,35.634683167833735,39.38458927261852,3.623347007226689,0.025524753386160722,37.18620682918432,unweighted,NA,Aphia minuta
2005,31.771619732566496,30.32581762349522,33.28635135129015,3.458573430065448,0.02376268846688064,31.52225387065132,unweighted,NA,Aphia minuta
2006,29.16818479217668,27.69301615793984,30.721933617427222,3.3730785533583902,0.026479209120794784,28.94628561404989,unweighted,NA,Aphia minuta
2007,34.23743825794867,33.16610232761409,35.34338062663672,3.533319731241785,0.01622039557292451,33.964233549542094,unweighted,NA,Aphia minuta
2008,36.537726097011785,34.88874836415635,38.264640921077,3.5983453184992795,0.023562135875242977,36.25999276356865,unweighted,NA,Aphia minuta
2009,33.05301428503884,31.486566479538332,34.69739242724188,3.4981127659222064,0.02477176744111945,32.79649734131137,unweighted,NA,Aphia minuta
2010,31.74692245261884,29.805389484137482,33.81492752339252,3.457795790014446,0.03219781495006535,31.523618333746526,unweighted,NA,Aphia minuta
2012,33.19983698589077,31.601194109450844,34.879352092586956,3.5025449658468575,0.025179063535583326,32.93113512913839,unweighted,NA,Aphia minuta
2013,31.51921172619118,30.39324609751727,32.686890523405474,3.450597255990128,0.018559953342329835,31.258073636736945,unweighted,NA,Aphia minuta
2014,33.344086333591065,31.780796475152407,34.98427405025072,3.506880435306744,0.024499538124264926,33.101552790537156,unweighted,NA,Aphia minuta
2015,32.01222873746102,30.549829820916145,33.5446316639676,3.4661179778454163,0.023857001007296562,31.78302679901411,unweighted,NA,Aphia minuta
2016,32.03648813738007,30.569493522609918,33.57388212589756,3.4668755074966837,0.0239152045101564,31.780352991825527,unweighted,NA,Aphia minuta
2017,30.917404132395205,28.628142598754714,33.38972743301299,3.431319265873877,0.03925022374027722,30.70921886697258,unweighted,NA,Aphia minuta
2018,30.857337345965338,29.462061500123934,32.31869121170294,3.429374561487495,0.023608176998679505,30.61268513963549,unweighted,NA,Aphia minuta
2019,33.67697890988436,31.11456835906447,36.45041433352852,3.51681448552557,0.040377446046824396,33.46647089889393,unweighted,NA,Aphia minuta
2020,30.45974884853586,28.460963922210055,32.59890643379995,3.416406102145297,0.03462953463667124,30.259371459641518,unweighted,NA,Aphia minuta
2021,30.50531469311493,28.74980760719213,32.36801571824009,3.417900920666485,0.030240272697244327,30.279575117282636,unweighted,NA,Aphia minuta
2022,32.85887356825149,30.19014267993961,35.763513396436075,3.492221832297015,0.04321832604647566,32.676112923580845,unweighted,NA,Aphia minuta
2023,32.712377620310406,30.6369306222689,34.92842226159455,3.4877535267811854,0.03344314638286374,32.514414098637054,unweighted,NA,Aphia minuta
2024,33.55199753934976,31.525181388260386,35.70912170230191,3.5130964008211545,0.0317912807006884,33.33192076793615,unweighted,NA,Aphia minuta
1993,35.91576826333358,33.60507748406231,38.385342529183355,7.8890456308378205,0.033928814931358076,2647.4506708815284,weighted,74.28204034365534,Aphia minuta
1994,31.584246813047272,29.411200274805736,33.91784889520548,6.820716459673701,0.036369502069302555,908.9204541865229,weighted,29.022110831981603,Aphia minuta
1995,38.53438994123277,34.789296520839876,42.68264542956421,9.16113465323284,0.052164897105489265,9460.489770928329,weighted,247.0482262186506,Aphia minuta
1996,34.080198562980016,30.426364958742145,38.17281281109566,5.746833952454906,0.057861791484575334,310.849041359685,weighted,9.190013672567277,Aphia minuta
1997,32.74255624942601,30.215867576952657,35.480529791723,6.697397944052975,0.04097444847621634,803.6327669265766,weighted,24.74744615167783,Aphia minuta
1998,38.0920123355686,36.724533398612586,39.510410875034516,8.492124712603287,0.018653196567149786,4837.606810909374,weighted,128.01149984656908,Aphia minuta
1999,32.52057885131351,31.496754736632855,33.577683087281834,8.860789328480172,0.016320997905602343,6996.5941224783965,weighted,216.78720365740963,Aphia minuta
2000,37.083148149040866,35.791761424451934,38.42112882726811,8.47861216978501,0.018084464713150478,4773.764216000147,weighted,129.72924284215168,Aphia minuta
2001,35.819137072272326,34.76928835504567,36.9006856712397,8.633792185582811,0.015177741688376937,5565.105425354808,weighted,156.85312844707119,Aphia minuta
