x,predicted,std.error,conf.low,conf.high,group,var,species
-13,74.79199671856419,0.005368066353874492,74.00559159019281,75.58675841854915,1,Year,Anguilla anguilla
-12,74.83108407542399,0.004929416284341192,74.10825084696677,75.56096763728121,1,Year,Anguilla anguilla
-11,74.87019185989018,0.004512008034025268,74.20794853864122,75.53834514395548,1,Year,Anguilla anguilla
-10,74.90932008263842,0.004122299256960938,74.30372750312218,75.51984838186469,1,Year,Anguilla anguilla
-8,74.98763788571209,0.0034629192459195556,74.47805034575644,75.5007120832759,1,Year,Anguilla anguilla
-7,75.02682748741702,0.0032179393373317784,74.55292844317044,75.50373889226202,1,Year,Anguilla anguilla
-6,75.06603757016283,0.0030486916085078536,74.61675385464001,75.51802652072479,1,Year,Anguilla anguilla
-4,75.14451922159768,0.0029835354236239795,74.70434963542027,75.58728235507908,1,Year,Anguilla anguilla
-3,75.18379081171078,0.0030933896908105713,74.72722493381997,75.64314620039954,1,Year,Anguilla anguilla
-1,75.26239557433088,0.0035542089555562445,74.73750500696407,75.79097251184993,1,Year,Anguilla anguilla
0,75.30172876829556,0.0038766179415961662,74.72910676321462,75.87873856783713,1,Year,Anguilla anguilla
1,75.34108251834454,0.00424264010970835,74.71429283724856,75.97313043436999,1,Year,Anguilla anguilla
8,75.6171352421592,0.0074116502959704605,74.5215743945186,76.72880221182733,1,Year,Anguilla anguilla
9,75.65665382809891,0.007906509539966,74.48790219636385,76.84374374479577,1,Year,Anguilla anguilla
10,75.6961930670114,0.008406502790782823,74.45349253291977,76.95963547048878,1,Year,Anguilla anguilla
11,75.73575296969018,0.008910765865365173,74.41847307511681,77.07635000917318,1,Year,Anguilla anguilla
13,75.81493480954907,0.009929494236331863,74.34698998415658,77.31186348500536,1,Year,Anguilla anguilla
14,75.8545567683444,0.010442964336596219,74.31067339220719,77.43051596576412,1,Year,Anguilla anguilla
-3,76.01792301695964,0.01392738270361545,73.96150875007177,78.13151350575707,1,Temperature,Anguilla anguilla
-2,75.68153370933592,0.009036539338978229,74.34678186049024,77.04024843126656,1,Temperature,Anguilla anguilla
-1,75.34663296864213,0.0045592608667557035,74.67322710461356,76.02611163111924,1,Temperature,Anguilla anguilla
0,75.01321420777379,0.003369783116411718,74.51711758970659,75.51261358180389,1,Temperature,Anguilla anguilla
1,74.68127086877526,0.007305120055582357,73.61470946988598,75.76328506542455,1,Temperature,Anguilla anguilla
2,74.35079642271073,0.012116719109378756,72.59785797964871,76.14606108958539,1,Temperature,Anguilla anguilla
3,74.02178436953575,0.017079395396178157,71.57375710414323,76.55354117120768,1,Temperature,Anguilla anguilla
-2,73.70023568401079,0.009269628054879598,72.36720458173583,75.05782172011114,1,Chlorophyll,Anguilla anguilla
-1,74.4181211255824,0.005235476396662363,73.65487460105095,75.189276770323,1,Chlorophyll,Anguilla anguilla
0,75.14299921110471,0.0029663081164409597,74.70537265618935,75.58318939691779,1,Chlorophyll,Anguilla anguilla
1,75.87493805321323,0.005485646406830769,75.05976595147696,76.69896317423387,1,Chlorophyll,Anguilla anguilla
2,76.61400642800224,0.009554591099431946,75.18607317377739,78.0690589782942,1,Chlorophyll,Anguilla anguilla
3,77.36027378148738,0.013870568393954518,75.27596749956818,79.50229214365147,1,Chlorophyll,Anguilla anguilla
-14,36.12258897497281,0.01348545356908981,35.1801473311741,37.0902777061019,1,Year,Aphia minuta
-12,35.77002462007265,0.012677387968026713,34.89201034822834,36.67013303478429,1,Year,Aphia minuta
-10,35.42090137025034,0.011935781037679841,34.601724972038824,36.25947130944656,1,Year,Aphia minuta
-8,35.075185639569014,0.011273755710799513,34.30850177048665,35.859002409383784,1,Year,Aphia minuta
-6,34.7328441698979,0.010706085289867134,34.01147171065037,35.469516708759386,1,Year,Aphia minuta
-4,34.393844027712866,0.010248460967423942,33.709740202935265,35.09183102216956,1,Year,Aphia minuta
-2,34.05815260092813,0.009916130179031158,33.40248011482438,34.726695580706476,1,Year,Aphia minuta
0,33.725737595759036,0.009721950360598985,33.08905804065358,34.37466775211736,1,Year,Aphia minuta
2,33.39656703361526,0.009674243921887992,32.76916611318586,34.03598021928193,1,Year,Aphia minuta
4,33.07060924802453,0.009775155633860805,32.44291326700576,33.710449706986594,1,Year,Aphia minuta
6,32.74783288158627,0.010020196376917583,32.11083454821382,33.397467662513826,1,Year,Aphia minuta
8,32.428206882954946,0.010399182600452871,31.773810568512758,33.096080791953575,1,Year,Aphia minuta
10,32.11170050385298,0.010898149276042653,31.432929788577564,32.80512876734341,1,Year,Aphia minuta
12,31.79828329611265,0.011501491733163751,31.089344098296092,32.52338863704924,1,Year,Aphia minuta
14,31.487925108747017,0.012193726341563394,30.744156070189685,32.2496875630759,1,Year,Aphia minuta
16,31.180596085049384,0.012960617564669426,30.398351435221805,31.98297033609852,1,Year,Aphia minuta
-4,31.499890508627924,0.018143320049200884,30.39920489695531,32.64042942632778,1,Temperature,Aphia minuta
-3,32.02730258186455,0.015053402444773828,31.09597872244742,32.986519569806795,1,Temperature,Aphia minuta
-2,32.563545272938384,0.012374412580074693,31.783109309980112,33.36314488305082,1,Temperature,Aphia minuta
-1,33.10876643552087,0.010428017406031661,32.43880281595278,33.792566917506214,1,Temperature,Aphia minuta
0,33.66311639884161,0.009667331902861724,33.031155551050524,34.30716808954988,1,Temperature,Aphia minuta
1,34.226748009137395,0.010356995896527006,33.53883100484049,34.928774920983926,1,Temperature,Aphia minuta
2,34.7998166717952,0.012254538778031048,33.973767784658115,35.64595037166973,1,Temperature,Aphia minuta
3,35.3824803942008,0.014905582045155316,34.36354763431617,36.43162609892495,1,Temperature,Aphia minuta
-2,33.00004609786023,0.016754856815047913,31.933743580257985,34.101953619184854,1,Chlorophyll,Aphia minuta
-1,33.254526735046845,0.012209275778348091,32.46803947884956,34.060065409626304,1,Chlorophyll,Aphia minuta
0,33.51096980569523,0.009739228449636988,32.87723105114141,34.15692445545017,1,Chlorophyll,Aphia minuta
1,33.76939044315755,0.010866632145248169,33.05762221857808,34.49648384757515,1,Chlorophyll,Aphia minuta
2,34.0298038974871,0.01479053025383216,33.05728009230235,35.030938724177865,1,Chlorophyll,Aphia minuta
3,34.292225536338364,0.01992186848220742,32.978783767372526,35.657977581287476,1,Chlorophyll,Aphia minuta
-14,28.839851306777252,0.008685325788723587,28.35301033654448,29.335051676152613,1,Year,Clupea harengus
-12,28.52351105005999,0.008342258312801228,28.06087419581063,28.99377535231458,1,Year,Clupea harengus
-10,28.210640684950544,0.00805349208827515,27.768792189955402,28.65951973752968,1,Year,Clupea harengus
-8,27.90120215069782,0.007825041037048605,27.47650169984888,28.33246713712417,1,Year,Clupea harengus
-6,27.59515780403374,0.0076623019389902725,27.18378609492894,28.012754793254445,1,Year,Clupea harengus
-4,27.292470414593907,0.007569514260121883,26.89050143996364,27.700448167339605,1,Year,Clupea harengus
-2,26.993103160388547,0.0075492577530044645,26.59659936995471,27.395518054480473,1,Year,Clupea harengus
0,26.69701962332308,0.007602112237107697,26.302139847671544,27.097827815374252,1,Year,Clupea harengus
2,26.404183784767866,0.007726577487286477,26.00728945122385,26.807135078315145,1,Year,Clupea harengus
4,26.114560021176537,0.007919277759093749,25.712305010546,26.52310809240631,1,Year,Clupea harengus
6,25.828113099752365,0.00817538941833884,25.41750683229648,26.24535249247842,1,Year,Clupea harengus
8,25.544808174162196,0.008489175190468828,25.123248181551368,25.97344180733438,1,Year,Clupea harengus
10,25.264610780297385,0.008854505635247593,24.82988728378456,25.706945447826026,1,Year,Clupea harengus
